Age group (years),"Death rate, United States, 2019","Death rate, Uganda, 2019","Population, US, 2019","Population, Uganda, 2019","Total population, US, 2019","Total population, Uganda, 2019"
0-4,0.04,0.4,19848556,7328968,334319671,42949080
5-9,0.02,0.17,20697076,6614421,,
10-14,0.02,0.07,22092168,5899401,,
15-19,0.02,0.23,21895123,5151082,,
20-24,0.06,0.38,21871809,4348173,,
25-29,0.11,0.4,23406928,3499504,,
30-34,0.29,0.75,22842152,2618559,,
35-39,0.56,1.11,22296953,1903175,,
40-44,1.42,2.04,20694556,1503670,,
45-49,4,5.51,21244259,1234979,,
50-54,14.13,13.26,21346435,952868,,
55-59,37.22,33.25,22347501,687315,,
60-64,66.48,69.62,20941064,500298,,
65-69,108.66,120.78,17500872,353222,,
70-74,213.1,229.88,13688596,197171,,
75-79,333.06,341.06,9272809,92682,,
80-84,491.1,529.31,6118867,43893,,
85+,894.45,710.4,6213955,19704,,
,,,,,,
,,,,,,
,,,,,,
